HITId,WorkerId,Input.id,Input.user,Input.gold,Input.baseline,Input.rerank,Input.reaction,Answer.match_refA,Answer.match_refB,Answer.match_refC,Answer.out_of_refA,Answer.out_of_refB,Answer.out_of_refC
35ZRNT9RVY2CWRN1WCDNVCSG5YO3O8,A2LNLICU3SFU6Y,5e5db1c8f954cf39215f7bc72c7322fa_11,Where can I see if my vehicle is flood damaged?,Check the National Insurance Crime Bureau database to see if a vehicle is flood damaged. You will need the Vehicle Identification Number VIN,You can contact your local dmv office for more information.,You can check the National Insurance Crime Bureau database to see if a vehicle is flood damaged. You will need the Vehicle Identification Number (VIN) to perform the search.,You can check the National Insurance Crime Bureau database to see if a vehicle is flood damaged. You will need the Vehicle Identification Number (VIN).,0,2,2,0,0,0
35ZRNT9RVY2CWRN1WCDNVCSG5YO3O8,A3FLU33730ZZ07,5e5db1c8f954cf39215f7bc72c7322fa_11,Where can I see if my vehicle is flood damaged?,Check the National Insurance Crime Bureau database to see if a vehicle is flood damaged. You will need the Vehicle Identification Number VIN,You can contact your local dmv office for more information.,You can check the National Insurance Crime Bureau database to see if a vehicle is flood damaged. You will need the Vehicle Identification Number (VIN) to perform the search.,You can check the National Insurance Crime Bureau database to see if a vehicle is flood damaged. You will need the Vehicle Identification Number (VIN).,0,2,2,1,0,0
307L9TDWKEWUE6NPVXDAGNSBFOJ3NT,A2IWTDSQSVP46Q,6f23cca015caa4543aa6ada40041fe81_9,Is there any special number that I can contact if I have hearing issues?,"Yes, you can call to the 1-800-325-0778, that's a free toll number.","Yes, you can call our toll-free TTY number, 1-800-772-1213, or TTY 1-800-325-0778","Yes, if you have hearing issues, you can contact us at TTY 1-800-325-0778. We also recommend visiting your local Social Security office, but please call first to make an appointment.",The Social Security Administration's toll-free TTY number for hearing issues is 1-800-325-0778.,2,2,2,1,1,0
307L9TDWKEWUE6NPVXDAGNSBFOJ3NT,A37EE5CFQWM2NQ,6f23cca015caa4543aa6ada40041fe81_9,Is there any special number that I can contact if I have hearing issues?,"Yes, you can call to the 1-800-325-0778, that's a free toll number.","Yes, you can call our toll-free TTY number, 1-800-772-1213, or TTY 1-800-325-0778","Yes, if you have hearing issues, you can contact us at TTY 1-800-325-0778. We also recommend visiting your local Social Security office, but please call first to make an appointment.",The Social Security Administration's toll-free TTY number for hearing issues is 1-800-325-0778.,1,1,2,1,1,0
307L9TDWKEWUE6NPVXDAGNSBFOJ3NT,A3EGXCFW8U4K45,6f23cca015caa4543aa6ada40041fe81_9,Is there any special number that I can contact if I have hearing issues?,"Yes, you can call to the 1-800-325-0778, that's a free toll number.","Yes, you can call our toll-free TTY number, 1-800-772-1213, or TTY 1-800-325-0778","Yes, if you have hearing issues, you can contact us at TTY 1-800-325-0778. We also recommend visiting your local Social Security office, but please call first to make an appointment.",The Social Security Administration's toll-free TTY number for hearing issues is 1-800-325-0778.,2,2,2,1,1,1
3AA88CN9957UM3ZAN5EKEP7KUU8YKO,A2J2284QMS9XEZ,eb174adfce321bd012bf1152f4e9f671_7,One more thing. What is the best way to check my Pension Benefit Guaranty Corporation?,you may be able to use the PBGC's Find an Unclaimed Pension tool to find out if you have unclaimed benefits.,You can check the status of an open claim for VA disability compensation or pension benefits online.,"<assistant> The best way to check your Pension Benefit Guaranty Corporation (PBGC) is to visit their official website at www.pbgc.gov. On their website, you can find information about your pension plan, including how to calculate your benefits and how to file a claim. You can also contact the PBGC directly through their toll-free number at 1-800-400-7242 for further assistance.",The best way to check your Pension Benefit Guaranty Corporation is to use the PBGC's Find an Unclaimed Pension tool.,-1,1,2,1,1,0
3AA88CN9957UM3ZAN5EKEP7KUU8YKO,A7U5AWTKSC7S,eb174adfce321bd012bf1152f4e9f671_7,One more thing. What is the best way to check my Pension Benefit Guaranty Corporation?,you may be able to use the PBGC's Find an Unclaimed Pension tool to find out if you have unclaimed benefits.,You can check the status of an open claim for VA disability compensation or pension benefits online.,"<assistant> The best way to check your Pension Benefit Guaranty Corporation (PBGC) is to visit their official website at www.pbgc.gov. On their website, you can find information about your pension plan, including how to calculate your benefits and how to file a claim. You can also contact the PBGC directly through their toll-free number at 1-800-400-7242 for further assistance.",The best way to check your Pension Benefit Guaranty Corporation is to use the PBGC's Find an Unclaimed Pension tool.,1,2,2,0,1,0
3AA88CN9957UM3ZAN5EKEP7KUU8YKO,A2LNLICU3SFU6Y,eb174adfce321bd012bf1152f4e9f671_7,One more thing. What is the best way to check my Pension Benefit Guaranty Corporation?,you may be able to use the PBGC's Find an Unclaimed Pension tool to find out if you have unclaimed benefits.,You can check the status of an open claim for VA disability compensation or pension benefits online.,"<assistant> The best way to check your Pension Benefit Guaranty Corporation (PBGC) is to visit their official website at www.pbgc.gov. On their website, you can find information about your pension plan, including how to calculate your benefits and how to file a claim. You can also contact the PBGC directly through their toll-free number at 1-800-400-7242 for further assistance.",The best way to check your Pension Benefit Guaranty Corporation is to use the PBGC's Find an Unclaimed Pension tool.,0,0,2,1,1,0
302OLP89EFBB7NPJFMJ6NKC5MUXACE,A2XEKBVKBZC68Z,e95913cac907f29f94b0fafda16e9ba2_8,Where can i get more information?,You can contact us at the following numbers 518 - 486 - 4421 or 518 - 486 - 3260,You can contact the medical certification unit to get more information.,"You can find more information about driver's license regulations on the Department of Motor Vehicles website. They have detailed information about the requirements and certifications needed for different types of commercial driving. Additionally, you can contact the Medical Certification Unit through fax at 518-486-4421 or 518-486-3260, or via email at [email protected]","For more information, you can contact the Medical Certification Unit through fax at 518-486-4421 or 518-486-3260, email at [email protected], or mail at NYS DMV Medical Certification Unit PO Box [address].",-1,1,1,1,1,1
302OLP89EFBB7NPJFMJ6NKC5MUXACE,A2PMEO6PZ2JAAJ,e95913cac907f29f94b0fafda16e9ba2_8,Where can i get more information?,You can contact us at the following numbers 518 - 486 - 4421 or 518 - 486 - 3260,You can contact the medical certification unit to get more information.,"You can find more information about driver's license regulations on the Department of Motor Vehicles website. They have detailed information about the requirements and certifications needed for different types of commercial driving. Additionally, you can contact the Medical Certification Unit through fax at 518-486-4421 or 518-486-3260, or via email at [email protected]","For more information, you can contact the Medical Certification Unit through fax at 518-486-4421 or 518-486-3260, email at [email protected], or mail at NYS DMV Medical Certification Unit PO Box [address].",1,2,2,1,1,1
302OLP89EFBB7NPJFMJ6NKC5MUXACE,A1Y4ENR81QT0FT,e95913cac907f29f94b0fafda16e9ba2_8,Where can i get more information?,You can contact us at the following numbers 518 - 486 - 4421 or 518 - 486 - 3260,You can contact the medical certification unit to get more information.,"You can find more information about driver's license regulations on the Department of Motor Vehicles website. They have detailed information about the requirements and certifications needed for different types of commercial driving. Additionally, you can contact the Medical Certification Unit through fax at 518-486-4421 or 518-486-3260, or via email at [email protected]","For more information, you can contact the Medical Certification Unit through fax at 518-486-4421 or 518-486-3260, email at [email protected], or mail at NYS DMV Medical Certification Unit PO Box [address].",0,2,2,1,1,1
3TD33TP5E16SXIXD1MNBC06N49XAB7,A1ZB99O8RYCM6X,8b5f6b901d16a0c80416daa1b1742832_12,how can I get more information?,please see the   Disability Determination Process,You can contact your local Social Security office to request the review,"<assistant> For more information, you can visit our website at [ssa.gov](https://www.ssa.gov/) or contact our toll-free number at 1-800-772-1213. Our representatives will be happy to assist you further.","For more information, you can visit the Social Security Administration website and read the publications listed under the ""Publications"" section. Additionally, you can contact your local Social Security Office for further assistance.",-1,-1,0,0,1,1
3TD33TP5E16SXIXD1MNBC06N49XAB7,A1HAMB13KPGMTX,8b5f6b901d16a0c80416daa1b1742832_12,how can I get more information?,please see the   Disability Determination Process,You can contact your local Social Security office to request the review,"<assistant> For more information, you can visit our website at [ssa.gov](https://www.ssa.gov/) or contact our toll-free number at 1-800-772-1213. Our representatives will be happy to assist you further.","For more information, you can visit the Social Security Administration website and read the publications listed under the ""Publications"" section. Additionally, you can contact your local Social Security Office for further assistance.",0,1,1,1,1,1
3TD33TP5E16SXIXD1MNBC06N49XAB7,A2IWTDSQSVP46Q,8b5f6b901d16a0c80416daa1b1742832_12,how can I get more information?,please see the   Disability Determination Process,You can contact your local Social Security office to request the review,"<assistant> For more information, you can visit our website at [ssa.gov](https://www.ssa.gov/) or contact our toll-free number at 1-800-772-1213. Our representatives will be happy to assist you further.","For more information, you can visit the Social Security Administration website and read the publications listed under the ""Publications"" section. Additionally, you can contact your local Social Security Office for further assistance.",0,0,0,1,1,1
304QEQWK05OGFZO4DPV4TEU92M40OA,A2LNLICU3SFU6Y,354c30cb476f5eb06b94af25427edcec_9,What time do they work?,Representatives are available Monday through Friday from 8 a.m. at 5:30 p.m.,They are open Monday through Friday from 8:00 a.m. to 5:00 p.m.,Representatives are available Monday through Friday between 8 a.m. and 5:30 p.m.,Representatives are available Monday through Friday between 8 a.m. and 5:30 p.m.,2,2,2,0,0,0
304QEQWK05OGFZO4DPV4TEU92M40OA,A1ZB99O8RYCM6X,354c30cb476f5eb06b94af25427edcec_9,What time do they work?,Representatives are available Monday through Friday from 8 a.m. at 5:30 p.m.,They are open Monday through Friday from 8:00 a.m. to 5:00 p.m.,Representatives are available Monday through Friday between 8 a.m. and 5:30 p.m.,Representatives are available Monday through Friday between 8 a.m. and 5:30 p.m.,1,2,2,0,0,0
304QEQWK05OGFZO4DPV4TEU92M40OA,A2J2284QMS9XEZ,354c30cb476f5eb06b94af25427edcec_9,What time do they work?,Representatives are available Monday through Friday from 8 a.m. at 5:30 p.m.,They are open Monday through Friday from 8:00 a.m. to 5:00 p.m.,Representatives are available Monday through Friday between 8 a.m. and 5:30 p.m.,Representatives are available Monday through Friday between 8 a.m. and 5:30 p.m.,1,2,2,1,0,0
3EAWOID6N91B5JX1E1HIO6OHYF10VC,A37KEPT4TUN230,9f1cd95b2d7c708c33a5bd935a042152_11,I am hard of hearing what number do I call?,"If you are deaf or hard of hearing ,call our toll - free TTY number , 1 - 800 - 325 - 0778 , between7 a.m. and 7 p.m. Monday through Friday",call our toll - free number a 1 - 800 - 772 - 1213 or visit your Social Security office,You can call our toll-free TTY number at 1-800-325-0778 between 7 a.m. and 7 p.m. Monday through Friday. Our representatives will be happy to assist you.,"If you are hard of hearing, you can call the toll-free TTY number 1-800-325-0778.",0,2,1,1,1,0
3EAWOID6N91B5JX1E1HIO6OHYF10VC,A2IWTDSQSVP46Q,9f1cd95b2d7c708c33a5bd935a042152_11,I am hard of hearing what number do I call?,"If you are deaf or hard of hearing ,call our toll - free TTY number , 1 - 800 - 325 - 0778 , between7 a.m. and 7 p.m. Monday through Friday",call our toll - free number a 1 - 800 - 772 - 1213 or visit your Social Security office,You can call our toll-free TTY number at 1-800-325-0778 between 7 a.m. and 7 p.m. Monday through Friday. Our representatives will be happy to assist you.,"If you are hard of hearing, you can call the toll-free TTY number 1-800-325-0778.",0,2,1,0,0,0
3EAWOID6N91B5JX1E1HIO6OHYF10VC,A3EGXCFW8U4K45,9f1cd95b2d7c708c33a5bd935a042152_11,I am hard of hearing what number do I call?,"If you are deaf or hard of hearing ,call our toll - free TTY number , 1 - 800 - 325 - 0778 , between7 a.m. and 7 p.m. Monday through Friday",call our toll - free number a 1 - 800 - 772 - 1213 or visit your Social Security office,You can call our toll-free TTY number at 1-800-325-0778 between 7 a.m. and 7 p.m. Monday through Friday. Our representatives will be happy to assist you.,"If you are hard of hearing, you can call the toll-free TTY number 1-800-325-0778.",0,2,1,1,0,0
34YWR3PJ3OE3982WEGI0CRL2EQ90XF,A3A7YW0TSAC5T0,5739237b45a59e99f4282413adb58c89_13,what is the schedule?,"The customer service counter is open from 8:00 am to 3:45 pm, Monday through Friday, except state holidays",You can submit your request by fax at 518-486-6579. All changes sent by fax are processed by irb within 72 hours.,"The Customer Service Counter in Albany is open from 8:00am to 3:45pm, Monday through Friday, except on state holidays.","The Customer Service Counter in Albany is open from 8:00am to 3:45pm, Monday through Friday, except on state holidays.",-1,2,2,1,0,0
34YWR3PJ3OE3982WEGI0CRL2EQ90XF,A2IWTDSQSVP46Q,5739237b45a59e99f4282413adb58c89_13,what is the schedule?,"The customer service counter is open from 8:00 am to 3:45 pm, Monday through Friday, except state holidays",You can submit your request by fax at 518-486-6579. All changes sent by fax are processed by irb within 72 hours.,"The Customer Service Counter in Albany is open from 8:00am to 3:45pm, Monday through Friday, except on state holidays.","The Customer Service Counter in Albany is open from 8:00am to 3:45pm, Monday through Friday, except on state holidays.",-1,2,2,1,1,0
34YWR3PJ3OE3982WEGI0CRL2EQ90XF,A2XEKBVKBZC68Z,5739237b45a59e99f4282413adb58c89_13,what is the schedule?,"The customer service counter is open from 8:00 am to 3:45 pm, Monday through Friday, except state holidays",You can submit your request by fax at 518-486-6579. All changes sent by fax are processed by irb within 72 hours.,"The Customer Service Counter in Albany is open from 8:00am to 3:45pm, Monday through Friday, except on state holidays.","The Customer Service Counter in Albany is open from 8:00am to 3:45pm, Monday through Friday, except on state holidays.",-1,2,2,1,0,0
3BO3NEOQNGL2KQBJ7WFSYNA0ZZHAIG,A2XEKBVKBZC68Z,a28bbadca948893607dc348714d79ecf_3,What kind of disability benefits can I get?,Health care and Compensation payments,Health care Compensation payments,You may be eligible for health care and compensation payments as disability benefits for illnesses caused by contact with ionizing radiation during military service.,"You may be eligible for health care and compensation payments as disability benefits if you have been exposed to ionizing radiation during military service and have developed certain illnesses, including some cancers.",2,1,1,0,1,1
3BO3NEOQNGL2KQBJ7WFSYNA0ZZHAIG,A2IWTDSQSVP46Q,a28bbadca948893607dc348714d79ecf_3,What kind of disability benefits can I get?,Health care and Compensation payments,Health care Compensation payments,You may be eligible for health care and compensation payments as disability benefits for illnesses caused by contact with ionizing radiation during military service.,"You may be eligible for health care and compensation payments as disability benefits if you have been exposed to ionizing radiation during military service and have developed certain illnesses, including some cancers.",2,2,2,0,1,1
3BO3NEOQNGL2KQBJ7WFSYNA0ZZHAIG,A3EGXCFW8U4K45,a28bbadca948893607dc348714d79ecf_3,What kind of disability benefits can I get?,Health care and Compensation payments,Health care Compensation payments,You may be eligible for health care and compensation payments as disability benefits for illnesses caused by contact with ionizing radiation during military service.,"You may be eligible for health care and compensation payments as disability benefits if you have been exposed to ionizing radiation during military service and have developed certain illnesses, including some cancers.",2,2,2,0,1,1
3KVQ0UJWQDPNFFJ71HSQR33MMWE5WC,A3H8FDKQBQ2DYU,18aee072d90568eaeef37e1413488ab1_9,how to find an approved medical examiner,"you can either go to the National Registry of Certified Medical Examiner Search, or call FMCSA at 202 366 - 4001 and ask to speak to a representative","you can either go to the National Registry of Certified Medical Examiner Search, or call FMCSA at 202 366 - 4001 and ask to speak to a representative","To find an approved medical examiner, you can either go to the National Registry of Certified Medical Examiner Search or call FMCSA at 202-366-4001 and ask to speak to a representative. They will be able to provide you with the necessary information.","To find an approved medical examiner, you can either go to the National Registry of Certified Medical Examiner Search or call FMCSA at 202-366-4001 and ask to speak to a representative.",2,2,2,0,1,1
3KVQ0UJWQDPNFFJ71HSQR33MMWE5WC,A1Y4ENR81QT0FT,18aee072d90568eaeef37e1413488ab1_9,how to find an approved medical examiner,"you can either go to the National Registry of Certified Medical Examiner Search, or call FMCSA at 202 366 - 4001 and ask to speak to a representative","you can either go to the National Registry of Certified Medical Examiner Search, or call FMCSA at 202 366 - 4001 and ask to speak to a representative","To find an approved medical examiner, you can either go to the National Registry of Certified Medical Examiner Search or call FMCSA at 202-366-4001 and ask to speak to a representative. They will be able to provide you with the necessary information.","To find an approved medical examiner, you can either go to the National Registry of Certified Medical Examiner Search or call FMCSA at 202-366-4001 and ask to speak to a representative.",2,2,2,0,0,0
3KVQ0UJWQDPNFFJ71HSQR33MMWE5WC,A232MZZ6J1RKB4,18aee072d90568eaeef37e1413488ab1_9,how to find an approved medical examiner,"you can either go to the National Registry of Certified Medical Examiner Search, or call FMCSA at 202 366 - 4001 and ask to speak to a representative","you can either go to the National Registry of Certified Medical Examiner Search, or call FMCSA at 202 366 - 4001 and ask to speak to a representative","To find an approved medical examiner, you can either go to the National Registry of Certified Medical Examiner Search or call FMCSA at 202-366-4001 and ask to speak to a representative. They will be able to provide you with the necessary information.","To find an approved medical examiner, you can either go to the National Registry of Certified Medical Examiner Search or call FMCSA at 202-366-4001 and ask to speak to a representative.",2,2,2,0,0,0
3FTID4TN912569HS85QLTPKZJUDYLR,A2XEKBVKBZC68Z,4417d675bf76bbc04ad7756cb052e345_5,MyDMV is a great way to get online. Is it available for no cost?,You have to pay a fee of $7.,"Yes, it is available for no cost.","Yes, MyDMV is available for no cost. It is a convenient way to access many DMV services online.","Yes, MyDMV is available online and it is free of charge.",0,0,0,1,1,1
